name,descr,url,price,image_urls,images,id
Yale Wired Outdoor Dome Camera HD1080,"The Yale Full HD1080p Dome Camera is an accessory for the Yale Smart Home CCTV range, allowing you to view and record live footage from your property. The camera records around the clock with 30m enhanced night vison and is suitable for outdoor use. ",https://www.homebase.co.uk/yale-wired-outdoor-dome-camera-hd1080_p484127,59.99,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3e199755-f4d7-4daf-ab13-f0e60791674c.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/76115d37-67fc-451e-826c-c3a76f70ed4a.jpg",,484127
2000W Ceramic Tower Heater,"This tower heater has a distinctive and stylish retro look, with its front grill and attractive rose gold trim. Featuring 2 heat settings, it's the perfect solution for heating up smaller rooms.",https://www.homebase.co.uk/2000w-ceramic-tower-heater_p470152,35,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/76f6dbc1-16df-4049-a9fd-56405c272b5e.jpg,,470152
Valor Baltimore 12KW Solid Fuel Stove,"A large double-door traditional style, cast iron multi-fuel stove; for burning wood or solid fuel to produce a real fire.  ",https://www.homebase.co.uk/valor-baltimore-12kw-solid-fuel-stove_p290711,679,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/b8a151c6-be88-4570-9a83-470cc6f8a8e6.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dabc9a7a-2334-4a82-a16b-6b16c3b8e824.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a4d5a5c4-2edb-4cee-9b8c-c61ad769eb80.jpg",,290711
Dimplex Stockbridge 2kW Electric Stove,"The Dimplex Stockbridge is an authentic, cast iron styled electric stove, an ideal alternative to traditional wood burning/solid fuel stove. Completing the look, the Stockbridge has opening doors finishing off its realistic appearance.  Electric fires are easy to operate as there is little or no installation required. There is no annual maintenance required as with gas and they are 100 per cent efficient at point of use. ",https://www.homebase.co.uk/dimplex-stockbridge-2kw-electric-stove_p123331,329,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/27398484-818e-4a8d-ac49-f0630c57c961.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2975b9d5-64c2-4fb7-b55f-73dcbcdbb8f1.jpg",,123331
Mansion Traditional Fire Grate,Cast iron fire grate to fit 40cm aperture fireplace.,https://www.homebase.co.uk/mansion-traditional-fire-grate_p383087,17.99,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/48fc254a-b1c3-4512-9674-4f014ee267b2.jpg,,383087
10 Litre Dehumidifier,"Compact, powerful, and efficient, the Moretti 10 litre Dehumidifier allows you to control excess moisture, preventing mould and mildew from developing and creating a fresh-smelling, clean environment throughout your home.",https://www.homebase.co.uk/10-litre-dehumidifier_p204527,84,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/567194a6-40ef-4389-b640-74ef34a3569d.jpg,,204527
Dimplex Courchevel 2kW Electric Stove,"The Courchevel is a mid-sized cast-iron style electric stove, with its controls discreetly concealed behind its opening door. Adding to its authenticity the stove uses the realistic Optiflame log effect with the illusion of 'dying embers'- which can still be notice when the fire is switched off. The flame effect can be used independently of heat which makes it suitable for use all year round.",https://www.homebase.co.uk/dimplex-courchevel-2kw-electric-stove_p117829,170,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a6787f1b-4e62-4186-a19c-ec57e158bb7a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ee8f8d93-7840-4f49-aae9-449feaa386b9.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f5396526-e5c5-4dab-8912-b678651647d3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/99bfa706-fed2-42bf-9e76-5bce51cc2370.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/01964d71-a00d-4246-86b0-07b207c64aae.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4bddcf9a-e219-422d-b1f2-ac88ab6f01e0.jpg",,117829
Scandia Exuro 5 Stove,"The Exuro V (5kW) stove is a contemporary design with extended viewing glass that retains the focal point of the room while minimalist controls both above and within the lower door provide the primary and secondary air controls to enable complete and effective control over both burn rate and temperature output. Defra and HETAS approved for use in Smoke Control Areas. This stove has a firebrick lined firebox, a removable ash pan for ease of maintenance, premium impact resistant glass as well as a ""clearview"" glass airwash system.",https://www.homebase.co.uk/scandia-exuro-5-stove_p479750,395,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/775e16aa-b2b5-4951-9b55-ab59b7b2aa28.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/2cace60a-f9e4-4034-adf9-7f2ace718a2a.JPG",,479750
Adam Hudson Electric Stove - Black,"With its textured black finish, the Hudson is an electric stove with a difference. This traditionally styled stove has an air of elegance about it, which allows it to fit into both classically and contemporarily styled interiors. ",https://www.homebase.co.uk/adam-hudson-electric-stove-black_p468969,150,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/dd179dbc-cf0e-44bd-a609-43568d3e88f3.png,,468969
Dimplex Springbourne 2kW Electric Stove,"The Springborne is a 2kW traditionally styled freestanding electric stove coming complete with a real coal fuel bed and a remote control. The compact stove has been designed to fit in or stand on a standard fireplace and hearth. What's great about the Springborne is its opening door, which complements the stoves authenticity and traditional design. ",https://www.homebase.co.uk/dimplex-springbourne-2kw-electric-stove_p115169,155,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d8a6f8a6-4f4b-42b8-8cbb-71f0af1a25b3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/e4c798c9-5aba-482c-97e1-9c30cbc7ad63.jpg",,115169
